gene	label	hf_class	protein_ids	phenotype_vec	pheno_cluster
LPXN	0	unlabeled	['B7Z5P7', 'O60711']	[1.0799288684168489, -1.184235765632507, -0.5936543037522939]	3
DTL	0	unlabeled	['B4E0E6', 'F5GZ90', 'Q9NZJ0']	[0.4738950262485168, -1.333614059380605, -1.4785930357454005]	3
IQCJ	0	unlabeled	['Q1A5X6']	[0.6186295108807226, -0.2822323101656125, -0.577435902236578]	3
CACNA1E	0	unlabeled	['F8W9Z1', 'Q15878']	[-0.3712101260578442, -0.8456933965284829, -0.2561206420901001]	4
PRDM15	0	unlabeled	['A0AB56DNF6', 'E7ER26', 'P57071', 'Q6NXF8']	[-0.046746038523007, -0.5567561371584442, -0.2089695824756024]	4
BHLHE22	0	unlabeled	['B4DF88', 'Q8NFJ8']	[-0.62522975870225, -0.4163483886278952, -0.2442704774096189]	4
PSMC3IP	0	unlabeled	['A0A158RUX1', 'K7ERB6', 'Q9P2W1']	[0.1021862257470088, -0.6255341339053575, -0.5488983505447594]	4
OR11H6	0	unlabeled	['A0A126GVP4', 'A0A126GW52', 'Q8NGC7']	[-0.3790938861862922, -0.426684574694107, 0.0985198453532324]	4
PCSK6	0	unlabeled	['A0A087WY68', 'A0A087WZR0', 'H0YKZ4', 'H7BXT3', 'P29122', 'Q59H04']	[-0.2604632073237221, -0.4381908688882669, -0.560496512088907]	4
PCOLCE2	0	unlabeled	['B3KQT8', 'Q53EK6', 'Q9UKZ9']	[-0.0334944674696501, -0.7923448922086049, -0.1328255955329061]	4
NECTIN4	0	unlabeled	['K4PZ75', 'Q96NY8']	[-0.4222211440658256, -0.5665638606256731, 0.1147559822767435]	4
ARHGAP28	0	unlabeled	['E9PMX7', 'Q9P2N2']	[-0.2895634293146937, -0.5613308665520915, 0.0589070985128571]	4
L3MBTL4	0	unlabeled	['F8W9S8', 'Q8NA19']	[-0.4900751357769757, -0.7344570950516649, -0.1411929547106809]	4
MARCKSL1	0	unlabeled	['P49006']	[-0.3793150475860325, -0.1834769067948954, -0.0290643156740215]	4
DPF2	0	unlabeled	['A0A994J426', 'J3KMZ8', 'Q92785']	[-0.1688871738245913, -0.8274800772271345, -0.6786234334006145]	4
WFIKKN1	0	unlabeled	['Q96NZ8']	[-0.4085183062628612, -0.823288400493682, -0.2078976546805677]	4
MYBL2	0	unlabeled	['P10244']	[-0.0582540950416328, -0.628866361177143, -0.8214461487292565]	4
ARRB1	0	unlabeled	['A8K103', 'P49407']	[-0.5684357612208387, -0.8608434834339178, -0.2673847361299977]	4
DHRS3	0	unlabeled	['A0AAQ5BI35', 'O75911', 'Q53HI7']	[-0.1054514419485994, -0.3707232547287864, -0.1325922511130505]	4
LXN	0	unlabeled	['Q9BS40']	[-0.2346505037655683, -0.7679765766631905, 0.0540921385486867]	4
SLC28A3	0	unlabeled	['Q9HAS3']	[-0.7687975571055257, -0.7560326687098912, -0.375706724812473]	4
CCT5	0	unlabeled	['B4DDU6', 'B4DX08', 'B4DYC8', 'B7ZAR1', 'E7ENZ3', 'E9PCA1', 'P48643', 'Q9BU08', 'V9HW37']	[-0.3223555124638625, -1.090478831840503, -0.4098422993376999]	4
PLA2R1	0	unlabeled	['B7ZML4', 'Q13018']	[-0.0387905217825398, -0.573358177691609, -0.92945658379875]	4
ARL8A	0	unlabeled	['A0A087X2J2', 'B2R7U5', 'Q96BM9']	[-0.7680431659417495, 0.007834569491051, -0.1325808291827541]	4
EGFL7	0	unlabeled	['Q9UHF1']	[-0.5251842054211633, -0.5378372348672869, -0.0752372254208925]	4
GARS1	0	unlabeled	['A0A6Q8PGA8', 'A0A6Q8PGZ8', 'P41250']	[-0.945121018730736, -0.3475587693597909, -0.2858020198120707]	4
XKR6	0	unlabeled	['Q5GH73', 'Q96KT3']	[-0.7451098897661275, -0.4450527154006325, -1.048401127835196]	4
AFP	0	unlabeled	['B4DMX4', 'J3KMX3', 'P02771']	[-0.1746494899147218, -0.9313494108637456, -0.1317230543708727]	4
GIP	0	unlabeled	['P09681']	[-0.2807843757162097, -0.6286756716649012, -0.0033174485124775]	4
DDT	0	unlabeled	['B5MC82', 'J3KQ18', 'P30046', 'Q53Y51']	[-0.0609648698303749, -0.2861351425291417, -0.5075951477570692]	4
GYG2	0	unlabeled	['A8K8Y1', 'B3KUV6', 'O15488', 'Q1ZYL7']	[-0.1296059045493664, -0.1469697368750198, -0.0923641097697797]	4
ETNPPL	0	unlabeled	['B7Z224', 'E7ENR6', 'Q8TBG4']	[-0.521488093526047, -0.439782514613713, 0.0645429681576986]	4
HNF4A	0	unlabeled	['A0A087WXV4', 'B6ZGT3', 'F1D8S2', 'F1D8T0', 'F1D8T1', 'P41235']	[-0.2818727829271661, -0.6967359999199705, -0.0715285293294449]	4
C21orf58	0	unlabeled	['H0YCB6', 'H7C1T9', 'P58505', 'Q0VAL7']	[-0.3718625133243557, -0.7566545127070886, -0.502082913994183]	4
STAB2	0	unlabeled	['Q8WWQ8']	[-0.1978446763271615, -1.1138430684063625, -0.4141697005862794]	4
SLITRK4	0	unlabeled	['B2RCC8', 'Q8IW52']	[-0.1719983243656835, -0.2046854018517788, -0.4497598932911261]	4
ASB14	0	unlabeled	['A6NK59', 'Q6ZR08']	[-0.2064476588461729, -0.7818544148315013, -0.483069271980898]	4
MAD1L1	0	unlabeled	['A4D218', 'Q9Y6D9']	[-0.1127517137781268, -0.6969937369431426, -0.5336719749092558]	4
SELPLG	0	unlabeled	['A0A0C4DFY0', 'Q14242']	[-0.292639971451927, -0.7730125931584931, -0.6708877922561327]	4
RGR	0	unlabeled	['A0A0S2Z494', 'A0A0S2Z498', 'A0A494C187', 'A0A494C1E7', 'P47804']	[-0.5922044561896388, -0.8863835385584913, -0.4357149336282701]	4
LUC7L3	0	unlabeled	['A8K3C5', 'J3KPP4', 'O95232']	[-0.5346280168952123, -0.575421161261428, 0.0244967141193418]	4
CRIP2	0	unlabeled	['H0YHD8', 'P52943', 'Q53FN1']	[-0.4185987027438184, -0.3584009387099647, 0.0195001103577868]	4
RBMS3	0	unlabeled	['C9JIJ9', 'Q6XE24']	[0.1151399161498025, -0.6681016718795845, -0.5433284389893553]	4
PKIA	0	unlabeled	['B2R4K1', 'P61925']	[-0.3489829132339094, -0.8967247935039986, 0.0055380995375345]	4
MARCHF3	0	unlabeled	['Q86UD3']	[-0.5448762385498163, -0.8691700346179304, -0.4709679433110153]	4
EXOSC1	0	unlabeled	['B1AMU3', 'B1AMU4', 'Q9Y3B2', 'R4GMQ7', 'B1AMU7', 'R4GNH9']	[-0.0196480570570808, -1.0818561647747416, -0.445815179217783]	4
SLC34A1	0	unlabeled	['Q06495', 'Q86VN6']	[-1.0190530769680872, -0.2774530077269557, -0.5226483769323893]	4
RAB33B	0	unlabeled	['A0A494C0Z5', 'Q5U602', 'Q9H082']	[-0.093993658555005, -0.2405416554210713, -0.6532023474803542]	4
FGF14	0	unlabeled	['A0A7U3JVZ8', 'A0A9L9PX77', 'A0A9L9PXI9', 'A0A9L9PXK7', 'Q92915']	[-0.5643911459345335, -0.496556734808071, -0.277380730690743]	4
SYVN1	0	unlabeled	['B3KX82', 'Q86TM6']	[-0.7415721839934921, -0.8805888916325164, -0.4307602484155615]	4
PLA2G1B	0	unlabeled	['F8W062', 'P04054']	[-0.4991176319215548, -0.5154500890842268, -0.1042892771757855]	4
WNT9B	0	unlabeled	['E7EPC3', 'O14905', 'Q6ZS96', 'Q6ZSP0']	[-0.3446921534736187, 0.0976672963609818, -0.3063971861951272]	4
INF2	0	unlabeled	['A0A6Q8PGX4', 'A0A6Q8PHG2', 'Q27J81']	[-0.7393015526128186, -0.8805457167852624, -0.550302851652146]	4
SLX4	0	unlabeled	['Q8IY92']	[-0.9314337941445084, -0.3266661800410592, -0.1565425309652305]	4
CACNG1	0	unlabeled	['Q06432']	[-0.5148941770789599, -1.0513024343546653, -0.4269155581252859]	4
FBXO38	0	unlabeled	['Q6PIJ6']	[-0.4193853148745799, -0.4393615506625953, -0.7580782231470229]	4
B3GNT5	0	unlabeled	['B3KRF8', 'Q9BYG0']	[-0.689761082206517, -0.8232969985105493, -0.164159072906678]	4
TMEM86B	0	unlabeled	['Q8N661']	[-0.5173897527635297, -0.6868825387851591, -0.0845667038797823]	4
UGT2B28	0	unlabeled	['Q9BY64']	[-0.6886859812584651, -0.6527712710267506, -0.0757768001014649]	4
STARD7	0	unlabeled	['B3KNN8', 'Q9NQZ5']	[-0.4250698145925281, -0.2871991959119511, -0.0994850464683765]	4
SPRR2G	0	unlabeled	['Q9BYE4']	[0.1113331210532103, -0.7090911602472901, -0.4296063266999299]	4
ZNF454	0	unlabeled	['Q8N9F8']	[-0.610434165567836, -0.5344367382175688, -0.3710414914664274]	4
NDUFA9	0	unlabeled	['A8K4V2', 'Q16795']	[-0.305303264052813, -0.8614900842686577, -0.2204337615791662]	4
POU6F1	0	unlabeled	['A0A1C7CYY7', 'B3KT91', 'Q14863']	[-0.851645117927156, -0.9903310259783568, -0.4696125130910836]	4
ZC3HAV1L	0	unlabeled	['Q96H79']	[0.0724736533541372, -0.4210759486287828, -0.4188394104044394]	4
FCRLB	0	unlabeled	['Q6BAA4']	[-0.2622006861196548, -0.3751109263599691, 0.046662813969279]	4
WSCD2	0	unlabeled	['Q2TBF2']	[0.1149611914963293, -0.7205588735118569, -0.5165637379319268]	4
