Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
LRRC17	A8K2P0	-0.11413682254092511	-0.2314506188013216	0.2548567990471747
LRRC17	Q8N6Y2	-0.11413682254092511	-0.2314506188013216	0.2548567990471747
LRRC18	Q8N456	0.0874306910365896	0.06741446395019166	0.44385181211641184
LRRC19	Q53GE4	0.3631279643371244	-0.2903748460705359	0.42101466887976335
LRRC19	Q9H756	0.3631279643371244	-0.2903748460705359	0.42101466887976335
LRRC2	B2RBH0	0.21335314288385704	0.15829782600179584	1.369482922049197
LRRC2	Q53F49	0.21335314288385704	0.15829782600179584	1.369482922049197
LRRC2	Q9BYS8	0.21335314288385704	0.15829782600179584	1.369482922049197
LRRC20	A0A0A0MS58	-0.29273934989493056	-1.2517680855259181	-0.18229526948818345
LRRC20	Q8TCA0	-0.29273934989493056	-1.2517680855259181	-0.18229526948818345
LRRC20	X6RK58	-0.29273934989493056	-1.2517680855259181	-0.18229526948818345
LRRC23	A8K8K2	-0.6706186383023647	-0.7557053751259888	0.08299901412370933
LRRC23	Q53EV4	-0.6706186383023647	-0.7557053751259888	0.08299901412370933
LRRC24	G3V1D8	-1.0899540039714477	-0.6041064077762184	0.19287785014218264
LRRC24	Q50LG9	-1.0899540039714477	-0.6041064077762184	0.19287785014218264
LRRC25	Q8N386	-0.6986350083540216	-0.4145822929551399	0.3982845844709297
LRRC26	Q2I0M4	-0.4685193637562349	-0.36827276387108643	-0.016368472425875052
LRRC27	A0A140VJN2	-0.535530453955908	-0.404714044871421	0.1783138817571715
LRRC27	B3KUK5	-0.535530453955908	-0.404714044871421	0.1783138817571715
LRRC27	B4DW88	-0.535530453955908	-0.404714044871421	0.1783138817571715
LRRC27	Q9C0I9	-0.535530453955908	-0.404714044871421	0.1783138817571715
LRRC28	B4DHL3	0.18572454425235335	-0.1501948006068607	0.4449120230864554
LRRC28	B4DK22	0.18572454425235335	-0.1501948006068607	0.4449120230864554
LRRC28	H0YKM4	0.18572454425235335	-0.1501948006068607	0.4449120230864554
LRRC28	Q86X40	0.18572454425235335	-0.1501948006068607	0.4449120230864554
LRRC28	Q8NB41	0.18572454425235335	-0.1501948006068607	0.4449120230864554
LRRC3	Q9BY71	0.25556175624938715	-0.4170869112212946	0.4501012779688311
LRRC31	A0A384N629	-0.08135176518739357	0.06952111474502046	0.1930274710368796
LRRC31	Q6UY01	-0.08135176518739357	0.06952111474502046	0.1930274710368796
LRRC32	Q14392	-0.6544919032056064	-0.8012237886346375	0.2365287582118541
LRRC34	B3KT77	-0.43146387215207926	-1.2236630862184716	-0.3321105247862654
LRRC34	B4DHF2	-0.43146387215207926	-1.2236630862184716	-0.3321105247862654
LRRC34	B4DYJ4	-0.43146387215207926	-1.2236630862184716	-0.3321105247862654
LRRC34	G3V115	-0.43146387215207926	-1.2236630862184716	-0.3321105247862654
LRRC34	Q8IZ02	-0.43146387215207926	-1.2236630862184716	-0.3321105247862654
LRRC36	Q1X8D7	-0.8303383272582132	-1.16764862820283	0.8629444379001862
LRRC37A	A0A0G2JNC9	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	A0A0G2JQV0	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	A0A0G2JRA3	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	A0A0J9YVT7	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	A0A994J7J8	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	A6NMS7	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	E9PP10	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A	Q5YKG5	-0.14911167661058916	-0.527920548328122	0.18038982344537163
LRRC37A2	A0A0G2JNC9	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A0A0G2JNP1	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A0A0G2JRA3	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A0A994J7H6	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A0A994J7J8	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A0A994J7T3	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A6NM11	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	A8MUI5	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	B4DSF2	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A2	Q5YKG5	-0.6993450684070924	-0.45437388770276077	0.38960093359062564
LRRC37A3	A0A0G2JRB3	-0.42979431132477286	-0.09538881236731984	0.7553460519835248
LRRC37A3	B4DG20	-0.42979431132477286	-0.09538881236731984	0.7553460519835248
LRRC37A3	J3QTJ5	-0.42979431132477286	-0.09538881236731984	0.7553460519835248
LRRC37A3	O60309	-0.42979431132477286	-0.09538881236731984	0.7553460519835248
LRRC37B	B4DSJ3	0.4515736660336923	-0.4255070063895715	0.8810536864711163
LRRC37B	B4DZ43	0.4515736660336923	-0.4255070063895715	0.8810536864711163
LRRC37B	F5H5K1	0.4515736660336923	-0.4255070063895715	0.8810536864711163
LRRC37B	Q96QE4	0.4515736660336923	-0.4255070063895715	0.8810536864711163
LRRC39	Q96DD0	-0.21336916837581035	-0.9670820931191607	0.7570883818870507
LRRC3B	Q96PB8	-0.5442752169531019	-0.7563876854676355	0.4107546018707837
LRRC4	Q9HBW1	0.8914737027754907	0.47074402629036505	0.6965275457548707
LRRC40	A0A140VJN3	0.12085955441189844	-0.5084112566740021	0.6244881971797787
LRRC40	Q9H9A6	0.12085955441189844	-0.5084112566740021	0.6244881971797787
LRRC41	A0A0B4J2G4	-0.44570104705728697	-1.268003388671693	0.4500712612981065
LRRC41	B4DK79	-0.44570104705728697	-1.268003388671693	0.4500712612981065
LRRC41	Q15345	-0.44570104705728697	-1.268003388671693	0.4500712612981065
LRRC42	Q9Y546	0.1964162498208843	1.2183389710283716	0.20220234388206584
LRRC43	Q8N309	-0.22195873620580708	0.25374083797806435	0.5150088394451257
LRRC45	Q96CN5	0.493335636277221	-0.5772754837961354	-0.6162942777998306
LRRC46	Q96FV0	0.0918210000236648	0.9434905560596762	-0.06054939035758525
LRRC47	Q8N1G4	0.231065205611999	0.15784545035172737	0.2851338505047162
LRRC49	B7Z7G0	0.15143559282967892	0.6058052898888165	0.7612753418115019
